"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"21.04.2022","7.826","61","1"
"20.04.2022","9.649","114","10"
"19.04.2022","10.252","73","6"
"18.04.2022","1.462","12","3"
"17.04.2022","1.268","10","3"
"16.04.2022","1.142","7","0"
"15.04.2022","1.940","17","2"
"14.04.2022","6.798","57","7"
"13.04.2022","6.179","62","6"
"12.04.2022","6.830","66","8"
"11.04.2022","7.090","68","8"
"10.04.2022","1.201","8","1"
"09.04.2022","2.615","21","3"
"08.04.2022","5.461","60","9"
"07.04.2022","6.014","68","9"
"06.04.2022","6.133","70","12"
"05.04.2022","7.383","87","4"
"04.04.2022","6.403","71","8"
"03.04.2022","1.598","19","3"
"02.04.2022","2.258","11","1"
"01.04.2022","5.727","62","9"
"31.03.2022","7.281","60","6"
"30.03.2022","8.959","60","6"
"29.03.2022","9.436","81","7"
"28.03.2022","7.521","93","11"
"27.03.2022","1.851","18","3"
"26.03.2022","3.877","27","4"
"25.03.2022","7.372","67","5"
"24.03.2022","8.468","59","7"
"23.03.2022","8.681","68","4"
"22.03.2022","10.498","98","8"
"21.03.2022","7.604","78","8"
"20.03.2022","3.111","22","1"
"19.03.2022","4.183","22","5"
"18.03.2022","7.875","54","5"
"17.03.2022","8.588","58","13"
"16.03.2022","8.908","69","10"
"15.03.2022","9.440","82","8"
"14.03.2022","7.015","71","4"
"13.03.2022","2.498","15","1"
"12.03.2022","3.811","23","3"
"11.03.2022","6.972","34","9"
"10.03.2022","6.847","56","7"
"09.03.2022","7.110","60","7"
"08.03.2022","6.896","57","7"
"07.03.2022","6.607","50","14"
"06.03.2022","620","21","3"
"05.03.2022","1.617","12","0"
"04.03.2022","4.805","49","10"
"03.03.2022","4.725","40","3"
"02.03.2022","5.670","39","11"
"01.03.2022","6.225","54","5"
"28.02.2022","5.236","46","4"
"27.02.2022","716","14","3"
"26.02.2022","1.558","29","3"
"25.02.2022","4.068","41","6"
"24.02.2022","4.623","52","13"
"23.02.2022","4.801","46","9"
"22.02.2022","5.717","49","8"
"21.02.2022","3.677","53","9"
"20.02.2022","1.163","8","2"
"19.02.2022","2.270","21","3"
"18.02.2022","3.593","55","12"
"17.02.2022","3.947","47","4"
"16.02.2022","4.077","50","7"
"15.02.2022","4.669","59","4"
"14.02.2022","3.257","52","10"
"13.02.2022","1.222","10","2"
"12.02.2022","1.932","12","3"
"11.02.2022","3.237","39","3"
"10.02.2022","3.963","46","7"
"09.02.2022","4.248","42","9"
"08.02.2022","5.056","68","13"
"07.02.2022","3.409","55","12"
"06.02.2022","1.248","14","2"
"05.02.2022","2.334","30","4"
"04.02.2022","4.191","45","6"
"03.02.2022","5.244","52","7"
"02.02.2022","5.005","47","6"
"01.02.2022","4.872","64","9"
"31.01.2022","3.646","53","6"
"30.01.2022","1.548","9","3"
"29.01.2022","2.906","17","2"
"28.01.2022","4.004","30","4"
"27.01.2022","4.961","54","4"
"26.01.2022","4.926","55","9"
"25.01.2022","5.867","61","7"
"24.01.2022","4.287","64","9"
"23.01.2022","2.709","20","1"
"22.01.2022","2.855","25","5"
"21.01.2022","4.848","50","5"
"20.01.2022","5.015","62","8"
"19.01.2022","4.608","53","7"
"18.01.2022","5.290","55","1"
"17.01.2022","3.277","48","4"
"16.01.2022","1.998","21","0"
"15.01.2022","2.530","27","6"
"14.01.2022","3.529","52","7"
"13.01.2022","3.899","53","5"
"12.01.2022","3.337","31","4"
"11.01.2022","4.021","39","7"
"10.01.2022","2.743","42","6"
"09.01.2022","1.245","15","2"
"08.01.2022","1.351","16","2"
"07.01.2022","3.416","33","2"
"06.01.2022","3.863","45","3"
"05.01.2022","3.062","30","4"
"04.01.2022","2.861","40","5"
"03.01.2022","1.839","41","2"
"02.01.2022","981","24","4"
"01.01.2022","954","18","1"
"31.12.2021","1.530","21","1"
"30.12.2021","1.982","27","3"
"29.12.2021","1.445","37","4"
"28.12.2021","1.229","21","4"
"27.12.2021","724","21","4"
"26.12.2021","313","8","0"
"25.12.2021","358","5","0"
"24.12.2021","455","9","0"
"23.12.2021","876","30","1"
"22.12.2021","751","29","0"
"21.12.2021","942","21","1"
"20.12.2021","596","22","3"
"19.12.2021","243","7","2"
"18.12.2021","537","12","0"
"17.12.2021","863","35","4"
"16.12.2021","854","35","7"
"15.12.2021","902","42","3"
"14.12.2021","986","31","2"
"13.12.2021","596","26","5"
"12.12.2021","194","7","0"
"11.12.2021","511","20","1"
"10.12.2021","745","23","5"
"09.12.2021","817","23","3"
"08.12.2021","872","19","6"
"07.12.2021","951","37","3"
"06.12.2021","670","28","5"
"05.12.2021","236","15","0"
"04.12.2021","366","20","4"
"03.12.2021","691","24","1"
"02.12.2021","707","28","2"
"01.12.2021","827","26","3"
"30.11.2021","872","24","4"
"29.11.2021","559","36","4"
"28.11.2021","197","6","0"
"27.11.2021","538","16","3"
"26.11.2021","743","19","6"
"25.11.2021","735","35","1"
"24.11.2021","876","39","5"
"23.11.2021","823","43","8"
"22.11.2021","635","32","5"
"21.11.2021","212","13","1"
"20.11.2021","427","19","2"
"19.11.2021","781","36","5"
"18.11.2021","681","36","3"
"17.11.2021","843","34","6"
"16.11.2021","660","29","5"
"15.11.2021","434","20","2"
"14.11.2021","165","5","1"
"13.11.2021","385","12","4"
"12.11.2021","471","27","2"
"11.11.2021","503","19","3"
"10.11.2021","562","32","1"
"09.11.2021","605","38","7"
"08.11.2021","294","15","1"
"07.11.2021","129","8","2"
"06.11.2021","253","9","0"
"05.11.2021","436","20","3"
"04.11.2021","360","17","4"
"03.11.2021","385","9","1"
"02.11.2021","462","16","2"
"01.11.2021","210","9","1"
"31.10.2021","111","5","0"
"30.10.2021","271","9","0"
"29.10.2021","342","16","1"
"28.10.2021","358","17","2"
"27.10.2021","348","16","4"
"26.10.2021","452","17","2"
"25.10.2021","240","8","1"
"24.10.2021","83","3","0"
"23.10.2021","206","10","4"
"22.10.2021","279","17","5"
"21.10.2021","264","18","3"
"20.10.2021","311","14","5"
"19.10.2021","348","21","3"
"18.10.2021","238","17","3"
"17.10.2021","43","2","0"
"16.10.2021","118","5","0"
"15.10.2021","142","11","2"
"14.10.2021","137","7","1"
"13.10.2021","168","7","1"
"12.10.2021","139","8","1"
"11.10.2021","103","11","2"
"10.10.2021","34","3","0"
"09.10.2021","83","7","0"
"08.10.2021","145","10","0"
"07.10.2021","130","10","3"
"06.10.2021","133","3","1"
"05.10.2021","186","12","4"
"04.10.2021","106","9","0"
"03.10.2021","41","4","0"
"02.10.2021","60","9","0"
"01.10.2021","140","10","2"
"30.09.2021","153","14","3"
"29.09.2021","148","7","3"
"28.09.2021","210","6","0"
"27.09.2021","94","9","1"
"26.09.2021","23","3","0"
"25.09.2021","83","4","1"
"24.09.2021","160","12","0"
"23.09.2021","148","8","0"
"22.09.2021","181","12","1"
"21.09.2021","209","11","0"
"20.09.2021","87","9","1"
"19.09.2021","41","3","1"
"18.09.2021","90","5","2"
"17.09.2021","161","10","0"
"16.09.2021","188","8","1"
"15.09.2021","234","17","1"
"14.09.2021","202","13","3"
"13.09.2021","143","10","0"
"12.09.2021","70","7","0"
"11.09.2021","160","8","0"
"10.09.2021","185","13","2"
"09.09.2021","203","15","3"
"08.09.2021","236","19","3"
"07.09.2021","251","16","3"
"06.09.2021","171","10","1"
"05.09.2021","61","2","0"
"04.09.2021","204","10","1"
"03.09.2021","246","14","1"
"02.09.2021","214","12","0"
"01.09.2021","302","13","0"
"31.08.2021","303","14","1"
"30.08.2021","163","15","2"
"29.08.2021","77","1","0"
"28.08.2021","185","8","2"
"27.08.2021","215","6","1"
"26.08.2021","214","10","1"
"25.08.2021","248","16","1"
"24.08.2021","292","17","2"
"23.08.2021","178","17","2"
"22.08.2021","80","2","0"
"21.08.2021","162","7","1"
"20.08.2021","223","9","0"
"19.08.2021","204","10","1"
"18.08.2021","309","22","3"
"17.08.2021","290","9","0"
"16.08.2021","163","14","1"
"15.08.2021","116","2","0"
"14.08.2021","174","5","0"
"13.08.2021","264","13","1"
"12.08.2021","223","13","2"
"11.08.2021","257","14","2"
"10.08.2021","268","14","0"
"09.08.2021","167","9","0"
"08.08.2021","86","5","0"
"07.08.2021","149","7","0"
"06.08.2021","242","11","1"
"05.08.2021","239","9","1"
"04.08.2021","202","3","1"
"03.08.2021","217","14","1"
"02.08.2021","115","5","0"
"01.08.2021","36","3","1"
"31.07.2021","82","2","0"
"30.07.2021","134","11","1"
"29.07.2021","103","6","1"
"28.07.2021","128","2","1"
"27.07.2021","120","13","0"
"26.07.2021","92","6","0"
"25.07.2021","23","4","0"
"24.07.2021","86","6","0"
"23.07.2021","76","4","1"
"22.07.2021","92","4","0"
"21.07.2021","53","3","0"
"20.07.2021","65","3","1"
"19.07.2021","39","4","1"
"18.07.2021","19","0","0"
"17.07.2021","35","1","1"
"16.07.2021","58","1","0"
"15.07.2021","41","1","0"
"14.07.2021","39","0","0"
"13.07.2021","44","1","0"
"12.07.2021","16","2","0"
"11.07.2021","7","1","0"
"10.07.2021","24","0","0"
"09.07.2021","17","1","0"
"08.07.2021","17","2","0"
"07.07.2021","26","1","0"
"06.07.2021","16","1","0"
"05.07.2021","11","2","0"
"04.07.2021","5","0","0"
"03.07.2021","24","3","0"
"02.07.2021","19","0","0"
"01.07.2021","14","2","0"
"30.06.2021","12","1","0"
"29.06.2021","17","1","0"
"28.06.2021","17","0","0"
"27.06.2021","3","0","0"
"26.06.2021","17","1","0"
"25.06.2021","16","5","1"
"24.06.2021","12","2","0"
"23.06.2021","13","2","0"
"22.06.2021","18","2","1"
"21.06.2021","16","1","0"
"20.06.2021","6","3","0"
"19.06.2021","16","3","0"
"18.06.2021","25","2","1"
"17.06.2021","24","2","0"
"16.06.2021","30","3","0"
"15.06.2021","23","2","0"
"14.06.2021","12","2","0"
"13.06.2021","4","0","0"
"12.06.2021","34","3","1"
"11.06.2021","37","4","0"
"10.06.2021","38","5","0"
"09.06.2021","57","4","0"
"08.06.2021","58","7","0"
"07.06.2021","28","2","0"
"06.06.2021","13","0","0"
"05.06.2021","41","2","0"
"04.06.2021","50","1","0"
"03.06.2021","49","4","0"
"02.06.2021","87","5","2"
"01.06.2021","65","2","0"
"31.05.2021","51","1","0"
"30.05.2021","41","6","1"
"29.05.2021","72","2","0"
"28.05.2021","100","6","0"
"27.05.2021","81","6","1"
"26.05.2021","110","2","0"
"25.05.2021","53","5","0"
"24.05.2021","75","2","0"
"23.05.2021","34","4","1"
"22.05.2021","101","10","2"
"21.05.2021","160","9","1"
"20.05.2021","114","3","0"
"19.05.2021","177","13","0"
"18.05.2021","201","8","1"
"17.05.2021","93","7","2"
"16.05.2021","59","5","1"
"15.05.2021","151","10","1"
"14.05.2021","98","9","3"
"13.05.2021","149","15","2"
"12.05.2021","210","16","5"
"11.05.2021","236","11","1"
"10.05.2021","132","11","0"
"09.05.2021","108","7","2"
"08.05.2021","212","16","0"
"07.05.2021","227","12","2"
"06.05.2021","224","22","3"
"05.05.2021","295","16","1"
"04.05.2021","289","19","3"
"03.05.2021","159","16","2"
"02.05.2021","92","8","2"
"01.05.2021","241","14","2"
"30.04.2021","267","19","2"
"29.04.2021","267","18","1"
"28.04.2021","284","17","3"
"27.04.2021","368","26","4"
"26.04.2021","169","10","2"
"25.04.2021","115","14","0"
"24.04.2021","332","26","7"
"23.04.2021","337","17","4"
"22.04.2021","365","28","4"
"21.04.2021","382","21","0"
"20.04.2021","413","21","0"
"19.04.2021","205","17","3"
"18.04.2021","173","14","3"
"17.04.2021","325","16","2"
"16.04.2021","289","21","3"
"15.04.2021","345","22","5"
"14.04.2021","375","26","4"
"13.04.2021","424","31","3"
"12.04.2021","202","16","0"
"11.04.2021","169","12","2"
"10.04.2021","362","16","1"
"09.04.2021","355","21","1"
"08.04.2021","398","22","0"
"07.04.2021","415","33","3"
"06.04.2021","203","25","2"
"05.04.2021","205","16","4"
"04.04.2021","170","12","3"
"03.04.2021","202","23","4"
"02.04.2021","322","18","2"
"01.04.2021","358","21","4"
"31.03.2021","392","30","6"
"30.03.2021","355","22","1"
"29.03.2021","202","17","2"
"28.03.2021","157","13","1"
"27.03.2021","309","17","1"
"26.03.2021","381","20","4"
"25.03.2021","371","24","5"
"24.03.2021","327","20","1"
"23.03.2021","294","23","4"
"22.03.2021","156","14","0"
"21.03.2021","95","7","0"
"20.03.2021","299","16","3"
"19.03.2021","280","21","2"
"18.03.2021","291","19","1"
"17.03.2021","327","22","4"
"16.03.2021","311","29","6"
"15.03.2021","129","16","1"
"14.03.2021","78","6","1"
"13.03.2021","271","29","5"
"12.03.2021","238","19","2"
"11.03.2021","267","19","2"
"10.03.2021","270","20","2"
"09.03.2021","254","17","2"
"08.03.2021","115","14","3"
"07.03.2021","71","3","1"
"06.03.2021","215","22","2"
"05.03.2021","216","21","1"
"04.03.2021","230","16","3"
"03.03.2021","256","21","7"
"02.03.2021","223","22","6"
"01.03.2021","103","15","6"
"28.02.2021","90","11","2"
"27.02.2021","199","21","1"
"26.02.2021","266","26","6"
"25.02.2021","252","17","6"
"24.02.2021","255","26","7"
"23.02.2021","281","27","7"
"22.02.2021","106","12","7"
"21.02.2021","112","12","2"
"20.02.2021","203","22","2"
"19.02.2021","267","27","7"
"18.02.2021","254","32","12"
"17.02.2021","246","21","7"
"16.02.2021","248","16","5"
"15.02.2021","142","11","2"
"14.02.2021","116","13","7"
"13.02.2021","190","10","3"
"12.02.2021","226","22","4"
"11.02.2021","357","30","7"
"10.02.2021","337","28","19"
"09.02.2021","314","24","9"
"08.02.2021","137","34","11"
"07.02.2021","106","14","2"
"06.02.2021","268","23","9"
"05.02.2021","259","32","7"
"04.02.2021","323","53","13"
"03.02.2021","341","31","13"
"02.02.2021","359","42","11"
"01.02.2021","130","25","7"
"31.01.2021","179","21","7"
"30.01.2021","263","26","6"
"29.01.2021","342","52","32"
